0.000634454	0.022
6.15E-05	0.003
3.91E-05	0.003
3.72E-05	0.004
3.56E-05	0.003
2.97E-05	0.004
2.41E-05	0.003
2.18E-05	0.004
1.99E-05	0.003
1.76E-05	0.003
1.69E-05	0.005
1.37E-05	0.005
1.14E-05	0.005
2.64E-05	0.008
9.62E-06	0.006
0.010420714	0.253
0.00058476	0.058
0.002531219	0.367
0.000689111	0.168
0.000268824	0.109
0.000164828	0.092
0.00010061	0.055
0.016864485	2.288
0.003154226	0.567
0.012097207	0.328
0.003155791	0.114
0.001300104	0.08
0.000503691	0.065
0.00042669	0.055
0.000643775	0.051
0.000172993	0.014
0.00018399	0.023
0.000316778	0.05
0.000256305	0.041
0.010434677	0.097
0.001359446	0.044
0.000817393	0.038
0.000595663	0.039
0.000487843	0.041
0.00013981	0.013
3.31E-05	0.003
3.22E-05	0.005
0.000203238	0.03
2.52E-05	0.008
6.30E-05	0.012
0.000216864	0.042
6.17E-05	0.014
3.22E-05	0.009
0.000524667	0.041
7.86E-04	0.032
4.70E-04	0.029
0.00018873	0.015
0.000341488	0.032
0.007714763	0.178
0.002001169	0.029
0.000113329	0.003
7.66E-05	0.003
5.32E-05	0.003
0.000172472	0.016
2.07E-03	0.051
8.80E-05	0.003
0.001267466	0.031
0.002995709	0.049
1.87E-03	0.028
0.056555464	0.363
0.010387956	0.159
0.000152823	0.005
0.00011109	0.003
7.80E-05	0.003
5.41E-05	0.003
3.99E-05	0.003
1.15E-04	0.013
1.40E-04	0.018
2.31E-05	0.003
2.11E-05	0.003
2.13E-05	0.005
1.75E-05	0.003
1.54E-05	0.003
1.48E-05	0.003
3.39E-05	0.01
1.20E-05	0.003
1.32E-05	0.003
1.73E-05	0.007
1.93E-05	0.006
1.52E-05	0.003
1.48E-05	0.003
5.94E-05	0.013
1.63E-05	0.003
1.52E-05	0.003
2.01E-05	0.007
3.42E-05	0.005
6.51E-05	0.005
4.90E-05	0.005
1.77E-04	0.005
1.34E-04	0.004
9.11E-05	0.004
0.004949101	0.061
9.28E-05	0.003
5.56E-05	0.007
0.000354933	0.017
6.28E-05	0.003
4.28E-05	0.003
3.20E-05	0.003
2.66E-05	0.004
9.86E-04	0.023
8.56E-05	0.003
5.56E-05	0.004
3.89E-05	0.003
2.80E-05	0.004
2.67E-05	0.004
8.02E-04	0.045
5.92E-05	0.003
4.33E-05	0.003
9.33E-05	0.011
2.39E-03	0.129
2.92E-04	0.014
5.25E-05	0.003
3.94E-05	0.003
3.24E-05	0.003
2.41E-05	0.003
5.40E-05	0.011
1.73E-05	0.005
1.64E-05	0.003
1.52E-05	0.003
1.37E-05	0.003
1.30E-05	0.004
1.93E-05	0.008
1.75E-05	0.008
4.29E-05	0.008
1.38E-05	0.006
7.60E-06	0.007
5.91E-06	0.005
8.81E-05	0.072
5.40E-04	0.076
1.15E-04	0.005
6.24E-04	0.08
4.53E-06	0.006
2.47E-06	0.003
2.46E-06	0.003
1.41E-06	0.003
1.86E-06	0.003
3.65E-06	0.004
3.21E-06	0.003
1.50E-06	0.004
4.04E-06	0.019
5.80E-06	0.022
8.13E-07	0.005
6.84E-07	0.004
4.22E-07	0.005
3.98E-07	0.005
1.62E-04	0.104
1.45E-04	0.003
1.31E-04	0.014
0.025586327	0.191
0.003096423	0.076
5.78E-05	0.005
7.87E-05	0.01
6.52E-05	0.021
1.49E-05	0.008
8.14E-06	0.008
1.35E-05	0.008
4.95E-06	0.008
3.84E-06	0.005
2.70E-03	0.095
3.22E-02	0.235
9.16E-04	0.025
0.000189435	0.009
0.000597359	0.023
0.019458491	0.157
0.022230865	0.181
0.000740043	0.021
0.00035574	0.017
0.000218828	0.02
5.27E-05	0.015
0.000107301	0.023
4.86E-05	0.005
6.92E-05	0.01
0.000745715	0.025
3.06E-04	0.016
2.22E-04	0.015
0.003981232	0.091
0.0009178	0.03
0.000102479	0.011
0.000113469	0.015
0.001803111	0.097
0.000462181	0.028
3.69E-05	0.003
9.00E-05	0.01
0.000164989	0.021
8.81E-05	0.016
1.02E-04	0.023
1.38E-05	0.002
4.89E-05	0.013
0.050386213	0.765
4.69E-01	3.15
4.08E-02	0.871
0.002181923	0.094
0.000754376	0.071
0.00027511	0.045
0.000126684	0.023
0.231907251	1.88
0.244033644	1.826
0.008388025	0.197
0.002969505	0.098
0.000885767	0.056
0.000998287	0.068
0.00010833	0.009
3.10E-05	0.003
0.002377678	0.095
0.009784147	0.19
3.03E-03	0.081
0.002645502	0.082
0.001452954	0.047
0.00083196	0.034
0.007085805	0.244
0.000316531	0.033
0.000274937	0.036
0.000476339	0.04
0.000478364	0.035
0.000148552	0.019
0.000258717	0.044
6.62E-05	0.013
6.17E-05	0.013
6.17E-05	0.013
8.50E-05	0.018
4.39E-04	0.1
2.16E-04	0.04
1.67E-04	0.031
0.000411962	0.101
0.005347334	0.108
0.000680538	0.027
0.000427659	0.024
0.000343944	0.026
0.000222846	0.021
0.000196042	0.02
0.000189834	0.021
0.000251874	0.024
0.000296494	0.026
0.000612996	0.057
0.000161078	0.019
0.000108542	0.016
9.56E-05	0.015
0.00012935	0.02
0.000131587	0.022
3.11E-04	0.038
0.00164739	0.041
0.010142122	0.178
0.000523496	0.021
0.00026109	0.015
0.000321994	0.018
0.000285783	0.015
0.000162862	0.011
0.000189722	0.015
0.000114275	0.009
0.020255234	0.253
0.012592894	0.207
0.000493522	0.017
0.000197552	0.01
5.76E-05	0.006
4.71E-05	0.005
4.13E-05	0.006
3.51E-05	0.006
2.98E-05	0.007
6.70E-05	0.01
2.82E-05	0.006
1.09E-02	0.174
5.09E-04	0.02
5.79E-04	0.035
0.000272774	0.022
0.000232099	0.022
0.000256465	0.024
0.000242605	0.027
0.000240592	0.028
0.000205177	0.029
0.000150683	0.021
0.000720709	0.037
0.000552589	0.024
0.000284944	0.018
0.000285821	0.024
0.000221413	0.024
0.0002417	0.026
3.79E-05	0.007
0.000689231	0.043
0.000444454	0.018
2.67E-04	0.016
0.000277517	0.021
0.000216121	0.018
0.000268479	0.022
0.000112554	0.026
0.000103518	0.024
8.79E-05	0.028
0.052728412	0.572
0.000973921	0.03
6.17E-04	0.026
0.083307853	0.679
0.073596774	0.486
0.005561289	0.097
0.00125811	0.043
0.000319915	0.016
0.000267027	0.017
0.000159336	0.013
0.000107086	0.011
0.000113899	0.013
0.000203872	0.021
0.005173447	0.188
0.000511398	0.024
6.33E-05	0.008
0.000264029	0.04
0.000206017	0.025
1.28E-04	0.019
0.001047362	0.05
0.001005926	0.039
0.00016144	0.012
0.000182454	0.014
0.00010326	0.009
0.000106128	0.016
3.71E-05	0.01
4.32E-05	0.014
2.76E-05	0.011
3.96E-04	0.055
1.04E-04	0.022
1.04E-04	0.035
2.03E-05	0.012
